image_id,split,image_path,mask_path
ILSVRC2012_test_00000003,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000003.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000003.png
ILSVRC2012_test_00000004,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000004.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000004.png
ILSVRC2012_test_00000018,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000018.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000018.png
ILSVRC2012_test_00000019,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000019.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000019.png
ILSVRC2012_test_00000022,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000022.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000022.png
ILSVRC2012_test_00000023,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000023.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000023.png
ILSVRC2012_test_00000025,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000025.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000025.png
ILSVRC2012_test_00000026,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000026.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000026.png
ILSVRC2012_test_00000030,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000030.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000030.png
ILSVRC2012_test_00000034,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000034.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000034.png
ILSVRC2012_test_00000038,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000038.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000038.png
ILSVRC2012_test_00000064,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000064.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000064.png
ILSVRC2012_test_00000072,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000072.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000072.png
ILSVRC2012_test_00000082,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000082.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000082.png
ILSVRC2012_test_00000086,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000086.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000086.png
ILSVRC2012_test_00000105,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000105.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000105.png
ILSVRC2012_test_00000108,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000108.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000108.png
ILSVRC2012_test_00000128,test,DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000128.jpg,DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000128.png
ILSVRC2012_test_00000130,train,DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00000130.jpg,DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00000130.png
